slug,tier,year,journal,title,authors,doi,url
ertl-2022-ksz,B-hu,2022,Közgazdasági Szemle,Méltányos és méltánytalan különbségek az egyéni döntéshozatalban,ertl-antal,10.18414/ksz.2022.10.1170,https://doi.org/10.18414/ksz.2022.10.1170
csoka-havran-et-al-2016-ks,B-hu,2016,Közgazdasági Szemle,"Konferencia a pénzügyi piacok likviditásáról. Sixth Annual Financial Market Liquidity Conference, 2015",csoka-peter; Dániel Havran; Kata Váradi,10.18414/ksz.2016.4.461,https://doi.org/10.18414/ksz.2016.4.461
lindner-dellavigna-et-al-2025-nber,-,2025,,Using Multiple Outcomes to Adjust Standard Errors for Spatial Correlation,lindner-attila; Stefano DellaVigna; Guido W. Imbens; Won‐Seok Kim; David M. Ritzwoller,10.3386/w33716,https://doi.org/10.3386/w33716
akyol-krishna-et-al-2024-nber,-,2024,,Targeting the Gender Placement Gap: Marks Versus Money,Pelin Akyol; Kala Krishna; lychagin-sergey,10.3386/w33074,https://doi.org/10.3386/w33074
baro-branyiczki-et-al-2022-krtkwp-payroll-taxes,-,2022,,Firm heterogeneity and the impact of payroll taxes,Anita Báró; branyiczki-reka; lindner-attila; prinz-daniel; Lóránt Márk,,
biro-branyiczki-2019-wp,-,2019,,17. Health gap in post-socialist Central and Eastern Europe: A life-course perspective,biro-aniko; branyiczki-reka,10.1515/9783110617245-017,https://doi.org/10.1515/9783110617245-017
konya-2018-wp,-,2018,,The Neoclassical Growth Model,konya-istvan,10.1007/978-3-319-69317-0_6,https://doi.org/10.1007/978-3-319-69317-0_6
simonovits-2018-wp,-,2018,,Models of Political Economy,simonovits-andras,10.1007/978-3-319-72502-4_12,https://doi.org/10.1007/978-3-319-72502-4_12
halpern-2013-wp,-,2013,,EU accession as an instrument for speeding up transition,halpern-laszlo,10.4324/9780203067901-29,https://doi.org/10.4324/9780203067901-29
lengyel-2012-wp,-,2012,,Regional Clustering Tendencies of the Hungarian Automotive and ICT Industries in the First Half of the 2000s,lengyel-balazs,10.1007/978-3-642-25816-9_4,https://doi.org/10.1007/978-3-642-25816-9_4
lieli-hsu-et-al-2022-asita,-,2022,Advanced studies in theoretical and applied econometrics,The Use of Machine Learning in Treatment Effect Estimation,lieli-robert; Yu‐Chin Hsu; Ágoston Reguly,10.1007/978-3-031-15149-1_3,https://doi.org/10.1007/978-3-031-15149-1_3
broadberry-vonyo-2025-cupe,-,2025,Cambridge University Press eBooks,Blockading Britain and Germany during World War I,Stephen Broadberry; vonyo-tamas,10.1017/9781009474887.005,https://doi.org/10.1017/9781009474887.005
vonyo-2018-cupe,-,2018,Cambridge University Press eBooks,Made in Germany: The Post-War Export Boom,vonyo-tamas,10.1017/9781316414927.006,https://doi.org/10.1017/9781316414927.006
benk-horvath-et-al-2024-cte,-,2024,Contributions to economics,Inflation Shock and Monetary Policy,benk-szilard; P. Horváth; Norbert Szepesi,10.1007/978-3-031-61561-0_4,https://doi.org/10.1007/978-3-031-61561-0_4
benczur-konya-2022-cte,-,2022,Contributions to economics,Convergence to the Centre,benczur-peter; konya-istvan,10.1007/978-3-030-93963-2_1,https://doi.org/10.1007/978-3-030-93963-2_1
biro-kollanyi-et-al-2022-cte,-,2022,Contributions to economics,Health and Social Security,biro-aniko; Zsófia Kollányi; Piotr Romaniuk; Šime Smolić,10.1007/978-3-030-93963-2_8,https://doi.org/10.1007/978-3-030-93963-2_8
horn-keller-et-al-2016-eepe,-,2016,Edward Elgar Publishing eBooks,Early tracking and competition – A recipe for major inequalities in Hungary,horn-daniel; keller-tamas; Péter Róbert,10.4337/9781785367267.00017,https://doi.org/10.4337/9781785367267.00017
csermely-harasztosi-et-al-2012-eepe,-,2012,Edward Elgar Publishing eBooks,Opportunities and challenges – the impact of Chinese competition on Hungarian manufacturing,Ágnes Csermely; harasztosi-peter; Gábor Pellényi,10.4337/9781781009505.00019,https://doi.org/10.4337/9781781009505.00019
acs-szerb-2011-eepe,-,2011,Edward Elgar Publishing eBooks,Entrepreneurship and Economic Development,Zoltán J. Ács; szerb-laszlo,10.4337/9781781001158.00008,https://doi.org/10.4337/9781781001158.00008
telegdy-2011-eepe,-,2011,Edward Elgar Publishing eBooks,Corporate governance and the structure of ownership of Hungarian corporations,telegdy-almos,10.4337/9781849808293.00016,https://doi.org/10.4337/9781849808293.00016
acs-szerb-2010-eepe,-,2010,Edward Elgar Publishing eBooks,Entrepreneurship and Economic Development,Zoltán J. Ács; szerb-laszlo,10.4337/9780857935540.00008,https://doi.org/10.4337/9780857935540.00008
herrendorf-rogerson-et-al-2013-ee,-,2013,Elsevier eBooks,Growth and Structural Transformation,Berthold Herrendorf; Richard Rogerson; valentinyi-akos,10.1016/b978-0-444-53540-5.00006-9,https://doi.org/10.1016/b978-0-444-53540-5.00006-9
